level_0,index,Unnamed: 0,Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
0,0,0,0,0.0,0.0,0.0,1,0.0,0.2,0.2,0.0,0.0,Feb,1.0,1,1,1,Returning_Visitor,False,False
1,1,1,0,0.0,0.0,0.0,2,64.0,0.0,0.1,0.0,0.0,Feb,2.0,2,1,2,Returning_Visitor,False,False
2,2,2,0,0.0,0.0,0.0,1,0.0,0.2,0.2,0.0,0.0,Feb,4.0,1,9,3,Returning_Visitor,False,False
3,3,3,0,0.0,0.0,0.0,2,2.666666667,0.05,0.14,0.0,0.0,Feb,3.0,2,2,4,Returning_Visitor,False,False
4,4,4,0,0.0,0.0,0.0,10,627.5,0.02,0.05,0.0,0.0,Feb,3.0,3,1,4,Returning_Visitor,True,False
5,5,5,0,0.0,0.0,0.0,19,154.2166667,0.0157894739999999,0.024561404,0.0,0.0,Feb,2.0,2,1,3,Returning_Visitor,False,False
6,6,6,0,0.0,0.0,0.0,1,0.0,0.2,0.2,0.0,0.4,Feb,2.0,4,3,3,Returning_Visitor,False,False
7,7,7,1,0.0,0.0,0.0,0,0.0,0.2,0.2,0.0,0.0,Feb,1.0,2,1,5,Returning_Visitor,True,False
8,8,8,0,0.0,0.0,0.0,2,37.0,0.0,0.1,0.0,0.8,Feb,2.0,2,2,3,Returning_Visitor,False,False
9,9,9,0,0.0,0.0,0.0,3,738.0,0.0,0.022222222,0.0,0.4,Feb,2.0,4,1,2,Returning_Visitor,False,False
10,10,10,0,0.0,0.0,0.0,3,395.0,0.0,0.066666667,0.0,0.0,Feb,1.0,1,3,3,Returning_Visitor,False,False
11,11,11,0,0.0,0.0,0.0,16,407.75,0.01875,0.0258333329999999,0.0,0.4,Feb,1.0,1,4,3,Returning_Visitor,False,False
12,12,12,0,0.0,0.0,0.0,7,280.5,0.0,0.028571429,0.0,0.0,Feb,1.0,1,1,3,Returning_Visitor,False,False
